Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Eeli Tolvanen,24,SEA,RW,81,16,25,41,-15,24
Ross Colton,27,COL,C,80,17,23,40,-8,61
Jake DeBrusk,27,BOS,LW,80,19,21,40,4,18
Pierre-Luc Dubois,25,LAK,LW,82,16,24,40,-9,70
Trent Frederic,25,BOS,C,82,18,22,40,9,69
Andrew Mangiapane,27,CGY,LW,75,14,26,40,7,47
Marco Rossi,22,MIN,C,82,21,19,40,-4,47
Reilly Smith,32,PIT,RW,76,13,27,40,3,18
Rasmus Andersson,27,CGY,D,78,9,30,39,-11,47
Mikael Backlund,34,CGY,C,82,15,24,39,-4,24
Luke Evangelista,21,NSH,RW,80,16,23,39,0,18
Gustav Forsling,27,FLA,D,79,10,29,39,56,43
Cam Fowler,32,ANA,D,81,5,34,39,-36,24
Morgan Geekie,25,BOS,C,76,17,22,39,6,28
Torey Krug,32,STL,D,77,4,35,39,-31,32
Scott Laughton,29,PHI,C,82,13,26,39,-9,69
Evan Rodrigues,30,FLA,C,80,12,27,39,26,34
Sean Couturier,31,PHI,C,74,11,27,38,-10,29
Jake Neighbours,21,STL,LW,77,27,11,38,-16,21
Cole Perfetti,22,WPG,C,71,19,19,38,13,12
Jake Sanderson,21,OTT,D,79,10,28,38,8,23
James van Riemsdyk,34,BOS,LW,71,11,27,38,7,20
Matthew Beniers,21,SEA,C,77,15,22,37,-11,20
Nick Foligno,36,CHI,LW,74,17,20,37,-29,57
Anders Lee,33,NYI,LW,81,20,17,37,2,68
Vladislav Namestnikov,31,WPG,C,78,11,26,37,17,37
Stefan Noesen,30,CAR,RW,81,14,23,37,13,33
Rickard Rakell,30,PIT,RW,70,15,22,37,4,22
Jaccob Slavin,29,CAR,D,81,6,31,37,21,8
Mason Appleton,28,WPG,C,82,14,22,36,16,26
Michael Bunting,28,2TM,LW,81,19,36,55,-19,57
Michael Bunting,28,CAR,LW,60,13,23,36,-15,55
Michael Bunting,28,PIT,LW,21,6,13,19,-4,2
Danton Heinen,28,BOS,C,74,17,19,36,16,28
Nils Höglander,23,VAN,LW,80,24,12,36,23,51
Alex Killorn,34,ANA,C,63,18,18,36,-15,54
Gabriel Vilardi,24,WPG,C,47,22,14,36,11,14
Jason Dickinson,28,CHI,C,82,22,13,35,4,43
Dylan Guenther,20,ARI,RW,45,18,17,35,-1,14
Noah Hanifin,27,2TM,D,80,13,34,47,19,24
Noah Hanifin,27,CGY,D,61,11,24,35,13,22
Noah Hanifin,27,VEG,D,19,2,10,12,6,2
Erik Haula,32,NJD,LW,76,16,19,35,-1,54
Boone Jenner,30,CBJ,C,58,22,13,35,-8,28
Mathieu Joseph,26,OTT,RW,72,11,24,35,-4,51
Matthew Knies,21,TOR,LW,80,15,20,35,9,45
Adam Lowry,30,WPG,LW,81,12,23,35,17,57
Anton Lundell,22,FLA,C,78,13,22,35,19,46
Sean Monahan,29,2TM,C,83,26,33,59,-1,12
Sean Monahan,29,MTL,C,49,13,22,35,-10,10
Sean Monahan,29,WPG,C,34,13,11,24,9,2
Colton Sissons,30,NSH,C,81,15,20,35,-6,38
Tom Wilson,29,WSH,RW,74,18,17,35,-19,133
Tomáš Hertl,30,2TM,C,54,17,21,38,-28,22
Tomáš Hertl,30,SJS,C,48,15,19,34,-26,22
Tomáš Hertl,30,VEG,C,6,2,2,4,-2,0
Artturi Lehkonen,28,COL,LW,45,16,18,34,11,14
Anthony Mantha,29,2TM,RW,74,23,21,44,11,25
Anthony Mantha,29,WSH,RW,56,20,14,34,5,17
Anthony Mantha,29,VEG,RW,18,3,7,10,6,8
Alex Newhook,23,MTL,C,55,15,19,34,-11,18
Nino Niederreiter,31,WPG,RW,77,18,16,34,12,34
Dmitri Voronkov,23,CBJ,LW,75,18,16,34,-6,52
Connor Zary,22,CGY,C,63,14,20,34,12,22
Andrew Copp,29,DET,C,79,13,20,33,-2,26
Tyson Foerster,22,PHI,RW,77,20,13,33,0,32
Yanni Gourde,32,SEA,C,80,11,22,33,-11,62
Connor McMichael,23,WSH,C,80,18,15,33,-20,34
Dawson Mercer,22,NJD,C,82,20,13,33,-26,29
Brandon Montour,29,FLA,D,66,8,25,33,1,46
Drew O'Connor,25,PIT,F,79,16,17,33,14,20
Jean-Gabriel Pageau,31,NYI,C,82,11,22,33,-8,13
Alex Pietrangelo,34,VEG,D,64,4,29,33,-5,24
Neal Pionk,28,WPG,D,82,5,28,33,9,63
Owen Power,21,BUF,D,76,6,27,33,8,28
Darren Raddysh,27,TBL,D,82,6,27,33,-3,21
Michael Rasmussen,24,DET,C,75,13,20,33,8,47
Oliver Ekman-Larsson,32,FLA,D,80,9,23,32,10,76
Robby Fabbri,28,DET,C,68,18,14,32,-13,32
Dakota Joshua,27,VAN,C,63,18,14,32,19,60
Elias Lindholm,29,2TM,C,75,15,29,44,-14,25
Elias Lindholm,29,CGY,C,49,9,23,32,-8,21
Elias Lindholm,29,VAN,C,26,6,6,12,-6,4
Jordan Martinook,31,CAR,LW,82,14,18,32,-1,36
Ryan McDonagh,34,NSH,D,74,3,29,32,19,31
Darnell Nurse,28,EDM,D,81,10,22,32,3,79
Ivan Provorov,27,CBJ,D,82,5,27,32,-11,20
Cole Sillinger,20,CBJ,C,77,13,19,32,-4,46
Dylan DeMelo,30,WPG,D,82,3,28,31,46,36
Lars Eller,34,PIT,C,82,15,16,31,-1,32
Brendan Gallagher,31,MTL,RW,77,16,15,31,-24,74
Erik Gustafsson,31,NYR,D,76,6,25,31,3,35
Tyler Johnson,33,CHI,C,67,17,14,31,-35,26
Seth Jones,29,CHI,D,67,8,23,31,-15,34
Ilya Mikheyev,29,VAN,F,78,11,20,31,1,4
Ondřej Palát,32,NJD,LW,71,11,20,31,-9,37
Zach Benson,18,BUF,LW,71,11,19,30,-3,36
Thomas Chabot,27,OTT,D,51,9,21,30,-3,22
Ryan Donato,27,CHI,C,78,12,18,30,-14,26
Justin Faulk,31,STL,D,60,2,28,30,-2,39
Marcus Johansson,33,MIN,C,78,11,19,30,-15,22
Ryan McLeod,24,EDM,C,81,12,18,30,10,10
K'Andre Miller,24,NYR,D,80,8,22,30,5,49
Joshua Norris,24,OTT,C,50,16,14,30,-6,22
Marcus Pettersson,27,PIT,D,82,4,26,30,28,44
Jaden Schwartz,31,SEA,C,62,13,17,30,-15,24
Jordan Staal,35,CAR,C,80,10,20,30,-14,44
Alexandre Texier,24,CBJ,C,78,12,18,30,-5,38
Cameron York,23,PHI,D,82,10,20,30,-13,44
Michael Carcone,27,ARI,F,74,21,8,29,-2,35
Leo Carlsson,19,ANA,C,55,12,17,29,-11,16
Yegor Chinakhov,22,CBJ,RW,53,16,13,29,-3,6
Kevin Hayes,31,STL,RW,79,13,16,29,0,12
Tyler Myers,33,VAN,D,77,5,24,29,16,77
Aliaksei Protas,23,WSH,C,78,6,23,29,-3,8
Pius Suter,27,VAN,F,67,14,15,29,17,16
Cam Atkinson,34,PHI,RW,70,13,15,28,-22,27
Teddy Blueger,29,VAN,C,68,6,22,28,4,31
Pierre Engvall,27,NYI,LW,74,10,18,28,4,18
Jake Evans,27,MTL,C,82,7,21,28,-1,24
Jordan Greenway,26,BUF,LW,67,10,18,28,11,64
Alexander Holtz,22,NJD,RW,82,16,12,28,-15,14
Nick Leddy,32,STL,D,82,3,25,28,14,14
Jake McCabe,30,TOR,D,73,8,20,28,20,56
