Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Casey DeSmith,32,VAN,G,29,0,1,1,0,0
Justin Dowling,33,NJD,C,2,1,0,1,-2,0
Samuel Fagemo,23,2TM,LW,8,1,0,1,-1,0
Samuel Fagemo,23,NSH,LW,4,1,0,1,0,0
Samuel Fagemo,23,LAK,LW,4,0,0,0,-1,0
Marc-André Fleury,39,MIN,G,40,0,1,1,0,4
Callan Foote,25,NJD,D,4,0,1,1,3,16
Nolan Foote,23,NJD,LW,4,1,0,1,-1,0
Anton Forsberg,31,OTT,G,30,0,1,1,0,2
Jean-Luc Foudy,21,COL,C,4,1,0,1,1,0
Mark Friedman,28,VAN,D,23,0,1,1,4,21
Byron Froese,32,VEG,C,16,0,1,1,-2,4
Cutter Gauthier,20,ANA,LW,1,0,1,1,1,0
Brandon Gignac,26,MTL,C,7,1,0,1,-3,0
Adam Ginning,24,PHI,D,9,1,0,1,0,0
Philipp Grubauer,32,SEA,G,36,0,1,1,0,4
Jonathan Gruden,23,PIT,C,13,1,0,1,-2,5
Filip Gustavsson,25,MIN,G,45,0,1,1,0,0
Hardy Haman Aktell,25,WSH,D,6,0,1,1,-2,2
Carter Hart,25,PHI,G,26,0,1,1,0,0
Adin Hill,27,VEG,G,35,0,1,1,0,0
Joel Hofer,23,STL,G,30,0,1,1,0,4
Daemon Hunt,21,MIN,D,12,0,1,1,-1,0
Ville Husso,28,DET,G,19,0,1,1,0,0
Ruslan Iskhakov,23,NYI,C,1,0,1,1,0,0
Tristan Jarry,28,PIT,G,51,1,0,1,0,4
Roby Jarventie,21,OTT,LW,7,0,1,1,-5,4
Jan Jeník,23,ARI,RW,5,0,1,1,-1,5
Lucas Johansen,26,WSH,D,6,0,1,1,1,4
Kaapo Kähkönen,27,2TM,G,37,0,1,1,0,4
Kaapo Kähkönen,27,SJS,G,31,0,1,1,0,4
Kaapo Kähkönen,27,NJD,G,6,0,0,0,0,0
Miloš Kelemen,24,ARI,F,10,0,1,1,-2,0
Adam Klapka,23,CGY,F,6,1,0,1,-1,19
Tyler Kleven,22,OTT,D,9,0,1,1,-1,2
Nikolai Knyzhov,25,SJS,D,10,0,1,1,-6,6
Joonas Korpisalo,29,OTT,G,55,0,1,1,0,0
Darcy Kuemper,33,WSH,G,33,0,1,1,0,0
Rasmus Kupari,23,WPG,C,28,0,1,1,-5,4
Maxime Lajoie,26,TOR,D,7,0,1,1,1,0
Brad Lambert,20,WPG,C,1,0,1,1,1,0
Kevin Lankinen,28,NSH,G,24,0,1,1,0,0
John Leonard,25,ARI,LW,6,1,0,1,-1,0
William Lockwood,25,FLA,RW,26,0,1,1,2,16
Ukko-Pekka Luukkonen,24,BUF,G,54,0,1,1,0,8
Alex Lyon,31,DET,G,44,0,1,1,0,2
Mackenzie MacEachern,29,STL,LW,8,0,1,1,-1,0
Logan Mailloux,20,MTL,D,1,0,1,1,1,0
Dylan McIlrath,31,WSH,D,3,0,1,1,1,5
Marc McLaughlin,24,BOS,F,1,1,0,1,1,0
Waltteri Merela,25,TBL,F,19,1,0,1,2,4
Jacob Moverare,25,LAK,D,24,1,0,1,0,6
Shakir Mukhamadullin,22,SJS,D,3,0,1,1,0,4
Frank Nazar,20,CHI,C,3,1,0,1,-4,0
Nikita Nesterenko,22,ANA,C,3,1,0,1,0,0
Jason Polin,24,COL,F,7,1,0,1,1,2
Jonathan Quick,38,NYR,G,27,0,1,1,0,8
Aku Raty,22,ARI,RW,1,0,1,1,0,0
Calle Rosén,29,STL,D,6,0,1,1,-1,2
Ilya Samsonov,26,TOR,G,40,0,1,1,0,0
Ryan Shea,26,PIT,D,31,1,0,1,1,6
Igor Shesterkin,28,NYR,G,55,0,1,1,0,6
Jack St. Ivany,24,PIT,D,14,0,1,1,0,2
Oskar Steen,25,BOS,C,34,1,0,1,-2,4
Jack Studnicka,24,2TM,C,22,1,0,1,-12,6
Jack Studnicka,24,VAN,C,5,1,0,1,2,0
Jack Studnicka,24,SJS,C,17,0,0,0,-14,6
Jeremy Swayman,25,BOS,G,44,0,1,1,0,0
Linus Ullmark,30,BOS,G,40,0,1,1,0,2
Vítek Vaněček,28,NJD,G,32,0,1,1,0,0
Egor Afanasyev,23,NSH,LW,2,0,0,0,-1,0
Emil Andrae,21,PHI,D,4,0,0,0,-1,0
Tyler Angle,23,CBJ,C,2,0,0,0,-1,0
Justus Annunen,23,COL,G,14,0,0,0,0,0
Kenneth Appleby,28,NYI,G,1,0,0,0,0,0
Yaroslav Askarov,21,NSH,G,2,0,0,0,0,0
Zach Aston-Reese,29,DET,C,3,0,0,0,0,2
Arshdeep Bains,23,VAN,F,8,0,0,0,-5,6
Tobias Björnfot,22,3TM,D,4,0,0,0,-2,2
Tobias Björnfot,22,FLA,D,1,0,0,0,0,0
Tobias Björnfot,22,LAK,D,1,0,0,0,0,0
Tobias Björnfot,22,VEG,D,2,0,0,0,-2,2
Mackenzie Blackwood,27,SJS,G,44,0,0,0,0,2
Jackson Blake,20,CAR,RW,1,0,0,0,-2,0
Anton Blidh,28,NYR,LW,1,0,0,0,-1,2
Robert Bortuzzo,34,2TM,D,27,0,0,0,0,27
Robert Bortuzzo,34,NYI,D,23,0,0,0,-2,20
Robert Bortuzzo,34,STL,D,4,0,0,0,2,7
Mavrik Bourque,22,DAL,C,1,0,0,0,0,0
Shane Bowers,24,NJD,C,8,0,0,0,1,0
Gavin Brindley,19,CBJ,C,1,0,0,0,0,0
Laurent Brossoit,30,WPG,G,23,0,0,0,0,2
Callahan Burke,26,CAR,C,1,0,0,0,0,0
Cameron Butler,21,CBJ,F,1,0,0,0,0,0
Jack Campbell,32,EDM,G,5,0,0,0,0,0
Declan Carlile,23,TBL,D,1,0,0,0,1,0
Magnus Chrona,23,SJS,G,9,0,0,0,0,0
Graeme Clarke,22,NJD,RW,3,0,0,0,-2,2
Dylan Coghlan,25,CAR,D,1,0,0,0,-2,0
Eric Comrie,28,BUF,G,10,0,0,0,0,0
Lucas Condotta,26,MTL,F,3,0,0,0,1,0
Devin Cooley,26,SJS,G,6,0,0,0,0,0
Pheonix Copley,32,LAK,G,8,0,0,0,0,0
Cameron Crotty,24,ARI,D,1,0,0,0,-1,0
Joey Daccord,27,SEA,G,50,0,0,0,0,0
Zach Dean,21,STL,C,9,0,0,0,-4,6
Ethan Del Mastro,21,CHI,D,2,0,0,0,0,0
Grigori Denisenko,23,VEG,LW,6,0,0,0,-3,2
Louis Domingue,31,NYR,G,1,0,0,0,0,0
Lukáš Dostál,23,ANA,G,44,0,0,0,0,8
Chris Driedger,29,SEA,G,2,0,0,0,0,0
Pierrick Dube,23,WSH,F,3,0,0,0,1,2
Samuel Ersson,24,PHI,G,51,0,0,0,0,4
Ivan Fedotov,27,PHI,G,3,0,0,0,0,0
Cale Fleury,25,SEA,D,1,0,0,0,1,0
Rhett Gardner,27,PHI,C,1,0,0,0,0,0
Adam Gaudette,27,STL,C,2,0,0,0,0,4
Glenn Gawdin,26,ANA,C,1,0,0,0,-1,2
John Gibson,30,ANA,G,46,0,0,0,0,12
Gage Goncalves,23,TBL,C,2,0,0,0,0,6
Jet Greaves,22,CBJ,G,9,0,0,0,0,0
Max Guenette,22,OTT,D,7,0,0,0,-1,2
Robert Hägg,28,ANA,D,5,0,0,0,-4,4
Brian Halonen,25,NJD,F,2,0,0,0,0,0
John Hayden,28,SEA,C,2,0,0,0,-1,0
Emil Heineman,22,MTL,LW,4,0,0,0,2,0
Magnus Hellberg,32,PIT,G,3,0,0,0,0,0
Connor Hellebuyck,30,WPG,G,60,0,0,0,0,2
Akito Hirose,24,VAN,D,3,0,0,0,1,0
Michael Hutchinson,33,DET,G,1,0,0,0,0,0
Grant Hutton,28,NYI,D,2,0,0,0,1,0
Bokondji Imama,27,OTT,LW,6,0,0,0,1,7
Vincent Iorio,21,WSH,D,6,0,0,0,1,0
Jonas Johansson,28,TBL,G,26,0,0,0,0,0
Marc Johnstone,27,PIT,F,1,0,0,0,-1,0
Martin Jones,34,TOR,G,22,0,0,0,0,0
Linus Karlsson,24,VAN,C,4,0,0,0,0,0
Philip Kemp,24,EDM,D,1,0,0,0,0,0
Jujhar Khaira,29,MIN,LW,1,0,0,0,0,0
Justin Kirkland,27,ARI,LW,2,0,0,0,0,0
Patrik Koch,27,ARI,D,1,0,0,0,0,10
Pyotr Kochetkov,24,CAR,G,42,0,0,0,0,8
Joona Koppanen,25,PIT,LW,4,0,0,0,0,0
Jiri Kulich,19,BUF,C,1,0,0,0,-1,0
Yan Kuznetsov,21,CGY,D,1,0,0,0,-1,0
Samuel Laberge,26,NJD,W,2,0,0,0,0,0
Raphael Lavoie,23,EDM,C,7,0,0,0,-2,2
Jake Leschyshyn,24,NYR,C,1,0,0,0,-1,0
Devon Levi,22,BUF,G,23,0,0,0,0,0
Kole Lind,25,SEA,RW,1,0,0,0,0,0
Oskar Lindblom,27,SJS,LW,1,0,0,0,-1,0
Charlie Lindgren,30,WSH,G,50,0,0,0,0,0
Connor Mackey,27,NYR,D,1,0,0,0,1,5
Spencer Martin,28,2TM,G,19,0,0,0,0,0
Spencer Martin,28,CAR,G,6,0,0,0,0,0
Spencer Martin,28,CBJ,G,13,0,0,0,0,0
Nikolas Matinpalo,25,OTT,D,4,0,0,0,1,0
Max McCormick,31,SEA,LW,1,0,0,0,0,0
Hugh McGing,25,STL,LW,5,0,0,0,-5,0
Cole McWard,22,VAN,D,1,0,0,0,0,0
Jayson Megna,33,BOS,C,1,0,0,0,0,0
Georgii Merkulov,23,BOS,F,4,0,0,0,1,0
Elvis Merzļikins,29,CBJ,G,41,0,0,0,0,4
Victor Mete,25,PHI,D,1,0,0,0,0,0
Fraser Minten,19,TOR,C,4,0,0,0,0,2
Logan Morrison,21,SEA,F,4,0,0,0,-1,0
Scott Morrow,21,CAR,D,2,0,0,0,-3,0
Petr Mrázek,31,CHI,G,56,0,0,0,0,14
Brett Murray,25,BUF,LW,2,0,0,0,-1,2
Matt Murray,25,DAL,G,1,0,0,0,0,0
Philippe Myers,27,TBL,D,5,0,0,0,-2,2
Bradly Nadeau,18,CAR,LW,1,0,0,0,-3,0
Riley Nash,34,NYR,C,1,0,0,0,0,0
Alex Nedeljkovic,28,PIT,G,38,0,0,0,0,0
Jake Oettinger,25,DAL,G,54,0,0,0,0,2
Oskar Olausson,21,COL,RW,1,0,0,0,0,0
Gustav Olofsson,29,SEA,D,1,0,0,0,0,0
Zack Ostapchuk,20,OTT,C,7,0,0,0,-1,0
Brennan Othmann,21,NYR,LW,3,0,0,0,0,0
Jiří Patera,24,VEG,G,6,0,0,0,0,0
Ondrej Pavel,23,COL,F,2,0,0,0,-1,2
Yaniv Perets,23,CAR,G,1,0,0,0,0,0
Calvin Petersen,29,PHI,G,5,0,0,0,0,0
Jacob Peterson,24,SJS,C,6,0,0,0,-3,2
Alexander Petrovic,31,DAL,D,1,0,0,0,-1,0
Calvin Pickard,31,EDM,G,23,0,0,0,0,2
Rem Pitlick,26,CHI,C,9,0,0,0,-7,2
Andrew Poturalski,30,SEA,C,2,0,0,0,-1,0
Samuel Poulin,22,PIT,RW,3,0,0,0,-1,2
Derrick Pouliot,30,DAL,D,5,0,0,0,-1,0
Ivan Prosvetov,24,COL,G,11,0,0,0,0,0
Antti Raanta,34,CAR,G,24,0,0,0,0,0
Adam Raška,22,MIN,RW,5,0,0,0,0,0
Pavol Regenda,24,ANA,F,5,0,0,0,-1,2
James Reimer,35,DET,G,25,0,0,0,0,4
Marshall Rifai,25,TOR,D,2,0,0,0,1,0
David Rittich,31,LAK,G,24,0,0,0,0,0
Georgi Romanov,24,SJS,G,2,0,0,0,0,0
Filip Roos,25,CHI,D,4,0,0,0,-4,0
Isak Rosen,20,BUF,RW,7,0,0,0,-3,0
Scott Sabourin,31,SJS,F,3,0,0,0,0,9
Mackie Samoskevich,21,FLA,RW,7,0,0,0,-3,0
Felix Sandström,27,PHI,G,5,0,0,0,0,0
Matthew Savoie,20,BUF,C,1,0,0,0,0,0
Brandon Scanlin,24,NYR,D,1,0,0,0,0,0
Cole Schwindt,22,CGY,RW,4,0,0,0,-1,2
Brett Seney,27,CHI,LW,4,0,0,0,0,6
Hunter Shepard,28,WSH,G,4,0,0,0,0,0
Arturs Silovs,22,VAN,G,4,0,0,0,0,0
Stuart Skinner,25,EDM,G,59,0,0,0,0,0
Joe Snively,28,WSH,F,3,0,0,0,-1,0
Arvid Söderblom,24,CHI,G,32,0,0,0,0,0
Victor Söderström,22,ARI,D,3,0,0,0,-1,0
Justin Sourdif,21,FLA,RW,3,0,0,0,0,0
Alex Steeves,24,TOR,F,1,0,0,0,-1,0
Marián Studenič,25,SEA,RW,2,0,0,0,-1,2
Malcolm Subban,30,CBJ,G,1,0,0,0,0,0
Maksymilian Szuber,21,ARI,D,1,0,0,0,-1,2
Mads Søgaard,23,OTT,G,6,0,0,0,0,0
Daniil Tarasov,24,CBJ,G,24,0,0,0,0,0
Jack Thompson,21,2TM,D,3,0,0,0,-2,0
Jack Thompson,21,SJS,D,2,0,0,0,-2,0
Jack Thompson,21,TBL,D,1,0,0,0,0,0
Matt Tomkins,29,TBL,G,6,0,0,0,0,0
Semyon Varlamov,35,NYI,G,28,0,0,0,0,0
Matt Villalta,24,ARI,G,2,0,0,0,0,0
Daniel Vladař,26,CGY,G,20,0,0,0,0,0
Samuel Walker,24,MIN,C,4,0,0,0,-3,0
Jesper Wallstedt,21,MIN,G,3,0,0,0,0,0
Scott Wedgewood,31,DAL,G,32,0,0,0,0,0
Colin White,27,2TM,C,28,0,0,0,-5,4
Colin White,27,MTL,C,17,0,0,0,-3,2
Colin White,27,PIT,C,11,0,0,0,-2,2
Ryan Winterton,20,SEA,C,9,0,0,0,-1,0
Dustin Wolf,22,CGY,G,17,0,0,0,0,0
Joseph Woll,25,TOR,G,25,0,0,0,0,0
